start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1731009600000,2024-11-07 20:00:00,40.37118406406362,31.727124332406863,40131.84015566335,62696.4488514908
1731013200000,2024-11-07 21:00:00,42.1171772597797,32.782193307558835,40354.82220194209,67219.0149066084
1731016800000,2024-11-07 22:00:00,34.90635170465756,34.23153382100841,36430.37041141941,49636.83212402305
1731020400000,2024-11-07 23:00:00,19.75794821550597,31.751521027812498,27143.2124966089,35267.937564678155
1731024000000,2024-11-08 00:00:00,13.655068294193349,30.51959182549115,13689.383155169628,31379.34694005631
1731027600000,2024-11-08 01:00:00,7.165855141934926,27.390376351710778,8349.449036865008,16087.344793643908
1731031200000,2024-11-08 02:00:00,19.966604281379585,25.4200269945021,25624.739888056574,40152.84120985435
1731034800000,2024-11-08 03:00:00,17.873866933716457,22.206124547309653,27926.378807952184,34675.30185140993
1731038400000,2024-11-08 04:00:00,17.673798470679568,18.714213291723915,19226.03892028391,24001.018323182852
1731042000000,2024-11-08 05:00:00,19.29744407853254,16.484369345134628,17498.03386561829,23446.394555417035
1731045600000,2024-11-08 06:00:00,14.352541230896708,15.712168347333304,13257.804209305274,17108.229147228874
1731049200000,2024-11-08 07:00:00,26.20593984994911,17.505149998155556,15552.226183460636,30529.919925190716
1731052800000,2024-11-08 08:00:00,62.50236661860155,25.410365923393645,61920.48721941257,83940.6783687819
1731056400000,2024-11-08 09:00:00,14.00358225639186,24.55850563410968,10933.89682523082,20123.1477024351
1731060000000,2024-11-08 10:00:00,10.552498248350188,23.512595821914505,7096.603820798,12082.610494360966
1731063600000,2024-11-08 11:00:00,38.24713399109599,26.451643753402568,40171.28419569606,44940.38243953779
1731067200000,2024-11-08 12:00:00,10.44410593911829,25.186881162057677,6887.952734832119,12000.277724046917
1731070800000,2024-11-08 13:00:00,16.44453999261046,25.485738128016777,11834.460740358136,22857.910589728537
1731074400000,2024-11-08 14:00:00,32.67319617700565,26.40963188902486,26940.06118777308,51623.64995966893
1731078000000,2024-11-08 15:00:00,42.18476270995969,23.50711704493316,40603.72438965322,63024.03548867978
1731081600000,2024-11-08 16:00:00,36.22811506396462,26.68205030315784,34568.43440671264,49197.78025686396
1731085200000,2024-11-08 17:00:00,25.8717281225024,28.87051171375101,22322.969270771537,33089.94026868057
