datetime,start_time,close,high,low,open,volume,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,MA_5,MA_20,MA_50,EMA_5,EMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,Daily_Return,Log_Return,Volatility_20d,rule1_signal,rule2_signal
2022-05-28,1653696000000,29018.0,29260.0,28522.0,28619.0,57338.009,2022,5,28,5,2,0,29204.5,29653.775,35434.33,29124.079398373447,30657.276036174968,29644.65244121617,31501.23005722888,45.60664218958611,-1856.5776160127095,-2136.8360595531035,29653.775,744.0931335811729,31141.961267162347,28165.588732837656,0.0139417869247702,0.0138454941766038,0.0422628724164007,-1,0
2022-05-29,1653782400000,29452.0,29592.0,28838.5,29018.0,65053.906,2022,5,29,6,2,0,29166.4,29623.2,35168.84,29233.3862655823,30542.487842253544,29615.01360410599,31349.43523817489,41.66107307468564,-1734.4216340689018,-2056.353174456264,29623.2,738.9166750228683,31101.03335004574,28145.366649954263,0.0149562340616169,0.014845492412977,0.0336797300143462,-1,0
2022-05-30,1653868800000,31731.5,32333.0,29289.0,29452.0,161343.155,2022,5,30,0,2,0,29604.3,29659.025,34960.73,30066.090843721533,30655.72709537225,29940.62689578199,31377.736331643417,57.82846182712755,-1437.1094358614282,-1932.5044267372964,29659.025,822.5797749637982,31304.1845499276,28013.865450072404,0.0773971207388293,0.0745480588445655,0.037332297191916,0,-1
2022-05-31,1653955200000,31781.0,32450.0,31216.0,31731.5,109587.476,2022,5,31,1,2,1,30120.3,29794.7,34806.35,30637.72722914769,30762.89594343204,30223.761219507836,31407.60771448464,55.91299420251951,-1183.8464949768097,-1782.772840385199,29794.7,935.859700458722,31666.419400917446,27922.980599082555,0.0015599640735546,0.0015587485935051,0.0341055400694085,0,-1
2022-06-01,1654041600000,29789.0,31982.5,29291.0,31781.0,167333.758,2022,6,1,2,2,0,30354.3,29834.0,34601.03,30354.81815276513,30670.143948819463,30156.87487804509,31287.71084674504,54.66672349130583,-1130.8359686999463,-1652.3854660481488,29834.0,917.1806916022398,31668.36138320448,27999.63861679552,-0.0626789591265221,-0.0647294290942924,0.037310083841033,-1,0
2022-06-02,1654128000000,30450.0,30711.0,29558.0,29789.0,106103.11,2022,6,2,3,2,0,30640.7,29893.075,34387.29,30386.54543517676,30649.177858455703,30201.97105065354,31225.65819143059,50.64953140948315,-1023.6871407770486,-1526.645800993929,29893.075,916.8899560158331,31726.854912031667,28059.29508796833,0.0221893987713586,0.0219467963056574,0.0375547040308284,0,0
2022-06-03,1654214400000,29688.0,30698.0,29250.0,30450.0,107008.029,2022,6,3,4,2,0,30687.9,29873.925,34182.45,30153.696956784508,30557.63711003135,30122.898581322224,31111.757584657957,52.41501824467063,-988.8590033357286,-1419.088441462289,29873.925,916.9778921002436,31707.880784200486,28039.969215799512,-0.0250246305418718,-0.0253430703976095,0.0375652026257463,-1,0
2022-06-04,1654300800000,29857.0,30000.0,29466.0,29688.0,53366.373,2022,6,4,5,2,0,30313.0,29801.0,33969.02,30054.797971189677,30490.909766218843,30081.991107272654,31018.81257838699,52.10920512201015,-936.8214711143372,-1322.6350473926989,29801.0,851.9917067767587,31504.98341355352,28097.016586446483,0.0056925357046617,0.0056763944507593,0.0363243808487873,0,0
2022-06-05,1654387200000,29901.5,30196.5,29509.5,29857.0,63649.121,2022,6,5,6,2,0,29937.1,29803.375,33759.9,30003.698647459787,30434.77550276943,30054.22324461532,30936.04868369166,48.07188515141989,-881.8254390763395,-1234.4731257294272,29803.375,852.2134010424709,31507.80180208494,28098.94819791506,0.0014904377532907,0.0014893281533321,0.0347525280067024,0,0
2022-06-06,1654473600000,31370.5,31750.0,29871.0,29901.5,160589.274,2022,6,6,0,2,0,30253.4,29850.675,33594.07,30459.299098306525,30523.892121553294,30256.72736082835,30968.230262677465,61.5873500101688,-711.502901849115,-1129.8790809533648,29850.675,912.6140775818654,31675.90315516373,28025.446844836268,0.0491279701687206,0.0479593145082047,0.0362093307707134,0,0
2022-06-07,1654560000000,31111.0,31598.0,29119.5,31370.5,244656.354,2022,6,7,1,2,0,30385.6,29971.525,33400.82,30676.532732204352,30579.80715759584,30388.153920700912,30978.80579877543,57.69452449567724,-590.6518780745173,-1022.0336403775952,29971.525,911.414523445837,31794.35404689168,28148.695953108327,-0.0082721027717123,-0.0083065064725114,0.0335739777091525,0,0
2022-06-08,1654646400000,30192.0,31319.5,29818.0,31111.0,155647.066,2022,6,8,2,2,0,30486.4,29965.625,33175.35,30515.02182146957,30542.87314258671,30357.976394439236,30920.52388775503,53.13676286072773,-562.5474933157966,-930.1364109652357,29965.625,909.4879975890428,31784.600995178087,28146.649004821917,-0.0295393912121114,-0.0299844657718868,0.0320659679407283,0,0
2022-06-09,1654732800000,30100.0,30694.5,29896.0,30192.0,107363.157,2022,6,9,3,2,0,30535.0,30011.375,32950.68,30376.68121431305,30500.694748054644,30318.28771837166,30859.744340513917,54.44521360759494,-541.4566221422538,-852.4004532006393,30011.375,890.9787621490455,31793.33252429809,28229.41747570191,-0.0030471648118707,-0.0030518168713643,0.0308563089934487,0,0
2022-06-10,1654819200000,29080.5,30376.0,28816.0,30100.0,168313.293,2022,6,10,4,2,0,30370.8,29994.375,32723.2,29944.620809542037,30365.43810538277,30127.85883862217,30727.948463438806,52.18730745532964,-600.0896248166318,-801.9382875238377,29994.375,905.9637188451854,31806.30243769037,28182.44756230963,-0.0338704318936876,-0.0344573252895952,0.0318313998109058,-1,0
2022-06-11,1654905600000,28420.0,29427.0,28035.0,29080.5,141291.231,2022,6,11,5,2,0,29780.7,29901.9,32498.07,29436.413873028025,30180.15828582251,29865.111324987996,30556.989317998898,47.234298399778005,-691.8779930109049,-779.9262286212512,29901.9,968.6280395191536,31839.15607903831,27964.64392096169,-0.0227128144289128,-0.0229747237962801,0.0314484048565292,-1,0
2022-06-12,1654992000000,26567.5,28532.0,26550.0,28420.0,208917.068,2022,6,12,6,2,0,28872.0,29775.7,32240.99,28480.109248685352,29836.09559193465,29357.786505759068,30261.47159073972,38.20679504476879,-903.6850849806542,-804.6779998931319,29775.7,1213.2928595987078,32202.285719197414,27349.114280802583,-0.06518296973962,-0.0674044584042414,0.0335213690689065,-1,1
2022-06-13,1655078400000,22476.5,26885.0,21909.5,26567.5,368297.2634899999,2022,6,13,0,2,0,27328.9,29417.4,31901.73,26478.906165790235,29135.181726036117,28299.1270433346,29684.807028462707,17.042945659141083,-1385.6799851281105,-920.8783969401276,29417.4,2034.7314875213888,33486.86297504278,25347.937024957224,-0.0859508094533271,-0.0898708924899241,0.046918670147363,-1,1
2022-06-14,1655164800000,22127.5,23450.0,20818.5,22476.5,368297.2634899999,2022,6,14,1,2,0,25734.4,29046.675,31536.28,25028.43744386016,28467.783466413624,27349.64595974466,29125.00650783584,16.341829085457263,-1775.3605480911792,-1091.774827170338,29046.675,2606.074772096585,34258.82454419317,23834.52545580683,-0.015527328543145,-0.0156491400928562,0.0468711896125979,-1,1
2022-06-15,1655251200000,22574.0,22794.5,20071.0,22127.5,368297.2634899999,2022,6,15,2,2,0,24433.1,28715.325,31225.69,24210.291629240102,27906.470755326613,26614.93119670702,28639.746766514665,21.80539273153576,-2024.8155698076444,-1278.382975697799,28715.325,2979.904075084556,34675.13315016912,22755.51684983089,0.0201785109027228,0.0199776226725395,0.0474648729915425,-1,1
2022-06-16,1655337600000,20385.0,22976.5,20228.0,22574.0,242730.554,2022,6,16,3,2,0,22826.1,28303.625,30849.27,22935.194419493404,27190.14020720027,25656.48024336748,28028.284043069136,14.864204426446976,-2371.8037997016545,-1497.0671404985706,28303.625,3514.7196933782952,35333.06438675659,21274.18561324341,-0.0859508094533271,-0.0898708924899241,0.0511539010531193,-1,1
2022-06-17,1655424000000,20454.5,21355.0,20230.0,20385.0,209825.352,2022,6,17,4,2,0,21603.5,27875.45,30463.67,22108.29627966227,26548.650663657387,24856.175590541712,27467.263002841795,16.129268918968492,-2611.087412300083,-1719.871194858873,27875.45,3921.221553425337,35717.89310685068,20033.00689314933,0.0034093696345351,0.0034035709101415,0.0508882250065879,-1,0
2022-06-18,1655510400000,18964.5,20769.5,17600.0,20454.5,368297.2634899999,2022,6,18,5,2,0,20901.1,27351.075,30071.52,21060.364186441515,25826.35060045192,23949.763961227603,26837.428706334995,13.573888907467476,-2887.664745107392,-1953.4299049085769,27351.075,4374.34944418745,36099.7738883749,18602.3761116251,-0.0728446063213473,-0.0756340967434331,0.0518515506302887,-1,0
2022-06-19,1655596800000,20567.5,20820.0,17953.0,18964.5,368297.2634899999,2022,6,19,6,2,0,20589.1,26792.875,29730.64,20896.076124294344,25325.50768612317,23429.41565950028,26372.98954290277,21.732283464566933,-2943.5738834024924,-2151.45870060736,26792.875,4496.55277282612,35785.98054565224,17799.769454347763,0.0845263518679637,0.0811433496230232,0.0525788825757062,-1,0
2022-06-20,1655683200000,20568.0,21125.0,19624.0,20567.5,302417.597,2022,6,20,0,2,0,20187.9,26232.225,29373.07,20786.717416196232,24872.4117160162,22989.197865731003,25942.990317502565,14.091014858890404,-2953.792451771562,-2311.9254508402005,26232.225,4540.703975315026,35313.63295063005,17150.817049369947,2.431019812809687e-05,2.4309902640019265e-05,0.0525467383823248,-1,0
2022-06-21,1655769600000,20715.5,21722.0,20336.0,20568.0,246895.4,2022,6,21,1,2,0,20254.0,25778.55,29016.82,20762.97827746416,24476.51536210989,22639.39819408008,25555.76881250237,15.184701430054588,-2916.370618422294,-2432.8144843566192,25778.55,4619.233505850633,35017.01701170127,16540.08298829873,0.0071713341112407,0.0071457423732023,0.0518885142819557,-1,0
2022-06-22,1655856000000,19980.0,20885.5,19703.0,20715.5,270334.774,2022,6,22,2,2,0,20159.1,25255.05,28661.75,20501.98551830944,24048.27580381371,22230.26001037545,25142.74890046516,15.373660653736607,-2912.488890089709,-2528.749365503237,25255.05,4655.097587590837,34565.24517518167,15944.854824818323,-0.0355048152349689,-0.0361504391163833,0.0512144895483297,-1,0
2022-06-23,1655942400000,21095.0,21240.0,19861.5,19980.0,219782.656,2022,6,23,3,2,0,20585.2,24825.4,28289.72,20699.65701220629,23767.01144154574,22055.604624163847,24842.91564857885,21.44714312892384,-2787.311024415005,-2580.4616972855906,24825.4,4620.843653318619,34067.08730663724,15583.712693362764,0.0558058058058057,0.0543042723558944,0.0538791412876268,-1,0
2022-06-24,1656028800000,21232.0,21556.5,20728.5,21095.0,219774.264,2022,6,24,4,2,0,20718.1,24394.15,27983.84,20877.1046748042,23525.581780446144,21928.89622044633,24575.44041535079,23.63886743022202,-2646.544194904458,-2593.678196809364,24394.15,4528.086147647823,33450.32229529565,15337.977704704355,0.006494429959706,0.0064734320135496,0.0538960388610413,-1,0
2022-06-25,1656115200000,21476.0,21630.0,20900.0,21232.0,142820.521,2022,6,25,5,2,0,20899.7,23972.875,27693.55,21076.736449869462,23330.383515641748,21859.2198788392,24345.85223643592,26.00552868002764,-2486.6323575967144,-2572.2690289668344,23972.875,4378.19334247274,32729.26168494548,15216.48831505452,0.0114920874152222,0.0114265549704712,0.0541075932633952,-1,0
2022-06-26,1656201600000,21032.0,21880.0,20958.5,21476.0,145666.424,2022,6,26,6,2,0,20963.0,23455.95,27404.95,21061.82429991298,23111.48984748539,21731.95528209471,24100.38170040363,28.80986104199364,-2368.426418308918,-2531.500506835251,23455.95,4057.369013677635,31570.68802735527,15341.21197264473,-0.020674241013224,-0.0208909451327429,0.051964858155561,-1,0
2022-06-27,1656288000000,20730.5,21580.0,20500.0,21032.0,184703.37,2022,6,27,0,2,0,21113.1,22936.925,27138.91,20951.382866608656,22884.72890962964,21577.88523869552,23850.760833707063,40.58455565142364,-2272.875595011541,-2479.775524470509,22936.925,3672.251361203616,30281.42772240723,15592.422277592768,-0.0143352985926207,-0.0144390416373839,0.0519200137853328,-1,0
2022-06-28,1656374400000,20273.5,21197.5,20190.0,20730.5,202468.436,2022,6,28,1,2,0,20948.8,22441.0,26943.11,20725.42191107244,22636.04044204586,21377.21058658852,23585.77854972876,40.11727078891258,-2208.5679631402454,-2425.5340122044568,22441.0,3290.833029235765,29022.66605847153,15859.33394152847,-0.022044813197945,-0.0222914312629384,0.0518650953075783,-1,0
2022-06-29,1656460800000,20104.5,20433.0,19820.0,20273.5,204302.193,2022,6,29,2,2,0,20723.3,21941.225,26724.9,20518.44794071496,22394.94135232721,21181.40895788259,23327.90606456367,36.43504531722054,-2146.4971066810795,-2369.7266310997816,21941.225,2786.863061404244,27514.951122808485,16367.498877191512,-0.0083360051298493,-0.0083709439227336,0.0517962419411675,-1,0
2022-06-30,1656547200000,19925.5,20156.5,18601.0,20104.5,312001.872,2022,6,30,3,2,1,20413.2,21483.475,26542.06,20320.798627143307,22159.756461629386,20988.192195131425,23075.8759857071,46.76066267183644,-2087.6837905756765,-2313.3180629949607,21483.475,2253.2865731890497,25990.048146378096,16976.9018536219,-0.0089034793205501,-0.0089433521402111,0.0517107565509024,-1,0
2022-07-01,1656633600000,19271.0,21017.5,18938.0,19925.5,313631.306,2022,7,1,4,3,0,20061.0,21026.025,26347.42,19970.86575142887,21884.63679861706,20724.00878049582,22794.03332009917,42.29241289482253,-2070.0245396033497,-2264.659358316638,21026.025,1606.9448576882692,24239.91471537654,17812.135284623462,-0.0328473564025997,-0.0333989432485293,0.0518151500456301,-1,0
2022-07-02,1656720000000,19246.0,19450.0,18960.0,19271.0,126812.293,2022,7,2,5,3,0,19764.1,20659.95,26146.97,19729.24383428592,21633.338055891625,20496.62281426569,22531.216037128863,52.265593561368206,-2034.593222863168,-2218.6461312259444,20659.95,995.8727843577002,22651.6955687154,18668.2044312846,-0.0012972860775257,-0.0012981282815744,0.0507043190006206,-1,0
2022-07-03,1656806400000,19306.0,19638.5,18777.0,19246.0,151515.372,2022,7,3,6,3,0,19570.6,20501.425,25931.67,19588.16255619061,21411.686812473377,20313.450073609434,22292.31114548969,36.49212977834886,-1978.861071880252,-2170.6891193568063,20501.425,942.3993074053062,22386.223614810613,18616.626385189385,0.0031175309155149,0.0031126814922142,0.0387524713543429,-1,0
2022-07-04,1656892800000,20220.5,20370.0,19039.0,19306.0,218635.992,2022,7,4,0,3,0,19593.8,20406.075,25709.77,19798.941704127075,21298.240449380675,20299.150062284905,22138.84365323119,46.888152592459925,-1839.6935909462843,-2104.490013674702,20406.075,862.285187204129,22130.645374408257,18681.504625591744,0.0473686936703614,0.0462810128522571,0.0405231017042652,-1,0
2022-07-05,1656979200000,20170.0,20750.0,19262.5,20220.5,321136.243,2022,7,5,1,3,0,19642.7,20285.875,25516.09,19922.627802751384,21190.78897801109,20279.28082193338,21993.00338262147,45.02870682584526,-1713.722560688093,-2026.33652307738,20285.875,695.6273555258148,21677.129711051628,18894.62028894837,-0.0024974654434856,-0.0025005893125602,0.0401349580182164,-1,0
2022-07-06,1657065600000,20556.5,20666.0,19737.0,20170.0,213468.577,2022,7,6,2,3,0,19899.8,20294.45,25318.73,20133.91853516759,21130.3805039148,20321.92992625132,21886.595724649516,55.61070559610706,-1564.6657983981931,-1934.002378141543,20294.45,697.9666878591727,21690.383375718346,18898.516624281656,0.0191621219633117,0.0189808406664482,0.0340431985186594,0,0
2022-07-07,1657152000000,21596.0,21818.0,20248.0,20556.5,235064.51,2022,7,7,3,3,0,20369.8,20351.525,25176.77,20621.279023445062,21174.725217827672,20517.94070682804,21865.070115416216,54.94863690241011,-1347.1294085881746,-1816.627784230869,20351.525,756.0025667375414,21863.530133475084,18839.51986652492,0.0505679468781163,0.0493309197234717,0.0358088430977186,0,0
2022-07-08,1657238400000,21590.0,22600.0,21184.0,21596.0,289375.528,2022,7,8,4,3,0,20826.6,20482.8,25002.37,20944.186015630043,21214.27519708218,20682.87290577757,21844.69455131131,53.63009531535185,-1161.8216455337351,-1685.6665564914424,20482.8,729.981153320591,21942.76230664118,19022.83769335882,-0.0002778292276347,-0.0002778678293245,0.0310445041852982,0,0
2022-07-09,1657324800000,21588.0,21980.0,21310.0,21590.0,121382.403,2022,7,9,5,3,0,21100.1,20533.825,24850.43,21158.790677086698,21249.868035455307,20822.12322796564,21825.680140103064,51.19428449562807,-1003.5569121374248,-1549.244627620639,20533.825,770.7412405348301,22075.30748106966,18992.34251893034,-9.263547938864748e-05,-9.263977031966528e-05,0.0251155801876812,0,0
2022-07-10,1657411200000,20849.0,21597.5,20652.0,21588.0,160482.783,2022,7,10,6,3,0,21235.9,20547.875,24679.0,21055.5271180578,21211.690127316702,20826.25811597093,21753.333463058392,48.16412520064205,-927.075347087466,-1424.8107715140045,20547.875,773.9515297403892,22095.778059480777,18999.971940519223,-0.0342319807300351,-0.0348316192924771,0.026442130061201,0,0
2022-07-11,1657497600000,19959.5,20851.0,19855.0,20849.0,184038.932,2022,7,11,0,3,0,21116.5,20510.075,24472.8,20690.184745371866,21092.433924715115,20692.910713513866,21620.45691023925,43.08147882268485,-927.5461967253904,-1325.3578565562818,20510.075,783.7335958952164,22077.542191790435,18942.607808209566,-0.0426639167346155,-0.0436007649945607,0.028125185118768,-1,0
2022-07-12,1657584000000,19323.5,20046.5,19219.5,19959.5,209788.632,2022,7,12,1,3,0,20662.0,20477.25,24277.44,20234.623163581244,20923.9640271232,20482.23214220404,21450.311953925237,41.74056685793775,-968.0798117211962,-1253.9022475892648,20477.25,820.0115451646142,22117.27309032923,18837.22690967077,-0.0318645256644705,-0.0323832486720829,0.0279043472778324,-1,0
2022-07-13,1657670400000,20215.5,20346.0,18867.5,19323.5,305252.967,2022,7,13,2,3,0,20387.1,20433.275,24088.9,20228.24877572083,20856.491262635274,20441.1964280188,21358.844401782622,50.85727525486561,-917.647973763822,-1186.651392824176,20433.275,808.643494975631,22050.561989951264,18815.98801004874,0.0461614096825109,0.045127665097911,0.0269318876058994,-1,0
2022-07-14,1657756800000,20583.0,20899.0,19575.0,20215.5,249702.25,2022,7,14,3,3,0,20186.1,20400.825,23909.72,20346.49918381389,20830.444475717628,20463.01236216976,21301.374446095026,54.9343339587242,-838.3620839252653,-1116.993531044394,20400.825,787.6539995575633,21976.13299911513,18825.517000884876,0.0181791199821919,0.0180158554816769,0.0272458576379663,0,0
2022-07-15,1657843200000,20822.5,21195.5,20365.0,20583.0,199847.858,2022,7,15,4,3,0,20180.8,20368.15,23742.15,20505.166122542592,20829.687858982616,20518.318152605178,21265.9022649028,62.41696678671468,-747.5841122976235,-1043.1116472950398,20368.15,753.5192188329344,21875.18843766587,18861.11156233413,0.011635815964631,0.011568640450495,0.0272494004988262,0,0
