datetime,signal,signal_strength,return,raw_position,position_size,position,strategy_return,position_change,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2021-05-06,-1,1.0139588438507712,-0.01847758617421158,-1.0,1.0,-0.8165609919132629,0.015083037043275235,-0.27271155735697283,0.27271155735697283,5.0390513017669096e-06,0.4922504161503161,49225.04161503161,136856.18666689156,-0.6403155544963011
2021-05-07,-1,1.0122807464764279,0.016222633508961914,-1.0,1.0,-0.8166221552345135,-0.013247762931898263,-6.116332125061241e-05,6.116332125061241e-05,9.922301448395873e-10,0.48572919933402847,48572.919933402845,136856.18666689156,-0.6450805687606253
2021-05-08,-1,1.010599530504924,0.027446832550782174,-1.0,1.0,-0.8241923085351426,-0.022621676058736682,-0.007570153300629046,0.007570153300629046,2.077767300261164e-07,0.47474119073442456,47474.11907344245,136856.18666689156,-0.6531094411610736
2021-05-09,-1,1.0089031811479057,-0.010733138984518997,-1.0,1.0,-0.8240976381380816,0.008845153470839345,9.46703970610141e-05,9.46703970610141e-05,1.0161105293754631e-09,0.47894034942539954,47894.034942539954,136856.18666689156,-0.6500411409305579
2021-05-10,0,0.0,-0.04156381615277294,-0.6666666666666666,0.0,-0.0,-3.4252642723505626e-05,0.8240976381380816,0.8240976381380816,3.4252642723505626e-05,0.4789239444527248,47892.39444527248,136856.18666689156,-0.6500531279463256
2021-05-11,0,0.0,0.01504859434465966,-0.3333333333333333,0.0,-0.0,-0.0,0.0,0.0,0.0,0.4789239444527248,47892.39444527248,136856.18666689156,-0.6500531279463256
2021-05-12,0,0.0,-0.12545611098346454,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.4789239444527248,47892.39444527248,136856.18666689156,-0.6500531279463256
2021-05-13,0,0.0,0.0022610803826779158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789239444527248,47892.39444527248,136856.18666689156,-0.6500531279463256
2021-05-14,-1,1.0017916672838556,0.003326835372244652,-0.3333333333333333,1.0,-0.2663079671180269,-0.0008868487276837364,-0.2663079671180269,0.2663079671180269,8.859627649188176e-07,0.47849921136192963,47849.92113619296,136856.18666689156,-0.6503634778845633
2021-05-15,-1,1.0028584521836996,-0.0617537209811988,-0.6666666666666666,1.0,-0.5289357803368615,0.03264753435119579,-0.2626278132188346,0.2626278132188346,1.6218244699418307e-05,0.49412103080188835,49412.103080188834,136856.18666689156,-0.638948707518367
2021-05-16,-1,1.0052403725075494,-0.007781651305173165,-1.0,1.0,-0.812035244392424,0.006316772138058954,-0.2830994640555625,0.2830994640555625,2.2029813139617917e-06,0.4972422807620867,49724.228076208674,136856.18666689156,-0.6366680287736087
2021-05-17,-1,1.0090610873222523,-0.0616658281153617,-1.0,1.0,-0.8082089137694485,0.04983863600396348,0.003826330622975549,0.003826330622975549,2.3595384650895504e-07,0.522024157798769,52202.4157798769,136856.18666689156,-0.6185600589110541
2021-05-18,-1,1.0141101257396243,-0.01569221813801447,-1.0,1.0,-0.8082876819385524,0.01268382538720253,-7.876816910390438e-05,7.876816910390438e-05,1.2360472919104793e-09,0.5286454210641901,52864.54210641901,136856.18666689156,-0.613721941302577
2021-05-19,-1,1.0203273673397628,-0.14442687966404966,-1.0,1.0,-0.7811836085656362,0.11281999647309376,0.027104073372916204,0.027104073372916204,3.914556743435741e-06,0.5882871956041692,58828.71956041692,136856.18666689156,-0.5701420520827004
2021-05-20,-1,1.0283856721429252,0.10387706007826858,-1.0,1.0,-0.7732214387350528,-0.08032079693208019,0.007962169830583399,0.007962169830583399,8.270867938448894e-07,0.5410354992283039,54103.54992283038,136856.18666689156,-0.6046685850270064
2021-05-21,-1,1.0380604392281405,-0.08121618852206047,-1.0,1.0,-0.7685120252925296,0.06241523504701862,0.00470941344252318,0.00470941344252318,3.8248060997628843e-07,0.5748043570814195,57480.43570814195,136856.18666689156,-0.5799938818399966
2021-05-22,-1,1.0495610757647684,0.005954150141544323,-1.0,1.0,-0.7676907914493091,-0.00457095112431978,0.0008212338432205257,0.0008212338432205257,4.889749603852482e-09,0.5721769544591543,57217.69544591543,136856.18666689156,-0.5819137092780212
2021-05-23,-1,1.0625932666422313,-0.07429303563900758,-1.0,1.0,-0.765291064046397,0.05685561801237954,0.0023997274029120552,0.0023997274029120552,1.7828303346844842e-07,0.6047084288173706,60470.842881737066,136856.18666689156,-0.5581431548365197
2021-05-24,-1,1.0753638136438555,0.11913042976370525,-1.0,1.0,-0.7463661627947371,-0.08891717626644398,0.01892490125165991,0.01892490125165991,2.2545316193459285e-06,0.550939462862412,55093.946286241204,136856.18666689156,-0.5974318178224558
2021-05-25,-1,1.0861381072108363,-0.011676739816697923,-1.0,1.0,-0.7565446784690063,0.008833856518310725,-0.010178515674269195,0.010178515674269195,1.1885187924862303e-07,0.5558063830276138,55580.63830276138,136856.18666689156,-0.5938755882622622
