datetime,signal,return,position,strategy_return,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2023-11-24,0,0.011047264595393846,0.0,-0.001,1.0,0.001,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-25,0,0.0015992022553259488,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-26,0,-0.008703457552440397,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-27,0,-0.0054383392230866745,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-28,0,0.015517949847318135,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-29,0,0.0006611640189251311,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-11-30,0,-0.003179419141530304,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-01,0,0.02500742374750775,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-02,0,0.020046559751681237,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-03,0,0.01381260301762377,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-04,0,0.05036055798317651,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-05,0,0.049736742464833394,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-06,0,-0.006962072696833244,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
